timestamp,Close,Open,High,Low
,000001.SS,000001.SS,000001.SS,000001.SS
2025-04-01,3348.43505859375,3340.7119140625,3357.6220703125,3338.779052734375
2025-04-02,3350.126953125,3344.1708984375,3361.134033203125,3343.115966796875
2025-04-03,3342.008056640625,3319.60595703125,3358.426025390625,3319.60595703125
2025-04-07,3096.575927734375,3193.10205078125,3217.781982421875,3040.693115234375
2025-04-08,3145.549072265625,3094.261962890625,3145.549072265625,3085.123046875
2025-04-09,3186.81005859375,3110.010009765625,3186.81005859375,3070.077880859375
2025-04-10,3223.637939453125,3227.8359375,3239.94091796875,3201.571044921875
2025-04-11,3238.22705078125,3219.5048828125,3249.85400390625,3211.35009765625
2025-04-14,3262.80810546875,3251.97802734375,3272.719970703125,3244.73291015625
2025-04-15,3267.662109375,3260.68505859375,3268.985107421875,3246.3369140625
2025-04-16,3276.00390625,3267.6650390625,3276.0048828125,3233.791015625
2025-04-17,3280.341064453125,3261.718017578125,3285.9150390625,3258.14501953125
2025-04-18,3276.72998046875,3270.35302734375,3283.090087890625,3262.39208984375
2025-04-21,3291.43408203125,3273.137939453125,3298.639892578125,3270.012939453125
2025-04-22,3299.757080078125,3289.166015625,3311.153076171875,3288.33203125
2025-04-23,3296.35498046875,3308.15087890625,3312.19189453125,3293.06298828125
2025-04-24,3297.2880859375,3295.14892578125,3313.509033203125,3286.236083984375
2025-04-25,3295.06005859375,3300.39208984375,3305.261962890625,3288.7548828125
2025-04-28,3288.4150390625,3292.055908203125,3296.931884765625,3279.876953125
2025-04-29,3286.655029296875,3281.445068359375,3294.98193359375,3277.626953125
