timestamp,Open,High,Low,Close,Volume
,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
2025-04-01,82551.921875,85487.3671875,82429.359375,85169.171875,28175650319
2025-04-02,85180.609375,88466.953125,82343.5390625,82485.7109375,47584398470
2025-04-03,82487.4765625,83909.296875,81282.1015625,83102.828125,36852112080
2025-04-04,83100.25,84696.1484375,81670.75,83843.8046875,45157640207
2025-04-05,83844.703125,84207.015625,82377.734375,83504.796875,14380803631
2025-04-06,83504.5078125,83704.71875,77097.7421875,78214.484375,36294853736
2025-04-07,78221.3359375,81119.0625,74436.6796875,79235.3359375,91262424987
2025-04-08,79218.4765625,80823.890625,76198.0234375,76271.953125,48314590749
2025-04-09,76273.5625,83541.0,74589.671875,82573.953125,84213627038
2025-04-10,82565.9765625,82700.9296875,78456.1328125,79626.140625,44718000633
2025-04-11,79625.046875,84247.4765625,78936.3203125,83404.8359375,41656778779
2025-04-12,83404.515625,85856.1875,82769.375,85287.109375,24258059104
2025-04-13,85279.46875,86015.1875,83027.0078125,83684.9765625,28796984817
2025-04-14,83694.5234375,85785.0,83690.640625,84542.390625,34090769777
2025-04-15,84539.6953125,86429.3515625,83598.8203125,83668.9921875,28040322885
2025-04-16,83674.5078125,85428.28125,83100.6171875,84033.8671875,29617804112
2025-04-17,84030.671875,85449.0703125,83749.75,84895.75,21276866029
2025-04-18,84900.1875,85095.046875,84298.8828125,84450.8046875,12728372364
2025-04-19,84450.8671875,85597.703125,84353.4609375,85063.4140625,15259300427
2025-04-20,85066.0703125,85306.3828125,83976.84375,85174.3046875,14664050812
2025-04-21,85171.5390625,88460.09375,85143.8359375,87518.90625,41396190190
2025-04-22,87521.875,93817.3828125,87084.53125,93441.890625,55899038456
2025-04-23,93427.5859375,94535.734375,91962.9609375,93699.109375,41719568821
2025-04-24,93692.3984375,94016.1953125,91696.7109375,93943.796875,31483175315
2025-04-25,93954.25,95768.390625,92898.59375,94720.5,40915232364
2025-04-26,94714.6484375,95251.359375,93927.25,94646.9296875,17612825123
2025-04-27,94660.90625,95301.203125,93665.3984375,93754.84375,18090367764
2025-04-28,93755.3046875,95598.4921875,92860.8046875,94978.75,32363449569
2025-04-29,94981.859375,95485.4140625,93796.6328125,94284.7890625,25806129921
